Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,26,21,811243.4694
2019,1,26,22,862964.5862
2019,1,26,23,938636.7133
2019,1,26,24,1024410.716
2019,1,27,1,975885.1312
2019,1,27,2,860732.1013
2019,1,27,3,800176.988
2019,1,27,4,729509.2351
2019,1,27,5,664240.6599
2019,1,27,6,616657.7924
2019,1,27,7,579542.0328
2019,1,27,8,560357.2528
2019,1,27,9,551603.4296
2019,1,27,10,556391.8673
2019,1,27,11,574069.7032
2019,1,27,12,634202.8854
2019,1,27,13,723410.4419
2019,1,27,14,788027.108
2019,1,27,15,788933.1799
2019,1,27,16,778083.4426
2019,1,27,17,776041.4683
2019,1,27,18,784045.3413
2019,1,27,19,792177.9146
2019,1,27,20,786665.6577
2019,1,27,21,793658.1591
2019,1,27,22,839658.9475
2019,1,27,23,911088.7634
2019,1,27,24,993295.0168
2019,1,28,1,946208.0779
2019,1,28,2,833922.609
2019,1,28,3,778982.4612
2019,1,28,4,722066.1874
2019,1,28,5,668992.9477
2019,1,28,6,631553.0888
2019,1,28,7,626662.9616
2019,1,28,8,597499.0705
2019,1,28,9,590098.9593
2019,1,28,10,588531.328
2019,1,28,11,592432.2408
2019,1,28,12,623389.5646
2019,1,28,13,668670.4995
2019,1,28,14,703098.2751
2019,1,28,15,726058.4866
2019,1,28,16,751073.975
2019,1,28,17,769139.8372
2019,1,28,18,789955.6359
2019,1,28,19,807501.5189
2019,1,28,20,797597.3277
2019,1,28,21,797251.5725
2019,1,28,22,807404.5398
2019,1,28,23,839069.9292
2019,1,28,24,874707.7304
2019,1,29,1,928252.974
2019,1,29,2,912404.4363
2019,1,29,3,868368.3706
2019,1,29,4,820522.7076
2019,1,29,5,759545.8884
2019,1,29,6,696224.3478
2019,1,29,7,637482.8094
2019,1,29,8,603666.1732
2019,1,29,9,596572.3713
2019,1,29,10,596390.4291
2019,1,29,11,597717.2588
2019,1,29,12,620290.2448
2019,1,29,13,657793.8926
2019,1,29,14,690143.6943
2019,1,29,15,709389.9986
2019,1,29,16,727509.396
2019,1,29,17,738184.2731
2019,1,29,18,760906.5822
2019,1,29,19,784187.3372
2019,1,29,20,779771.703
2019,1,29,21,783953.1685
2019,1,29,22,799771.3369
2019,1,29,23,838363.4103
2019,1,29,24,884265.1919
2019,1,30,1,948705.2122
2019,1,30,2,936628.7416
2019,1,30,3,888596.4955
2019,1,30,4,830905.0324
2019,1,30,5,763989.8135
2019,1,30,6,692481.2843
2019,1,30,7,610208.298
2019,1,30,8,589037.8246
2019,1,30,9,584808.6668
2019,1,30,10,594634.5711
2019,1,30,11,619490.3443
2019,1,30,12,689421.0865
2019,1,30,13,795744.3941
2019,1,30,14,854327.2457
2019,1,30,15,834460.3068
2019,1,30,16,804891.9057
2019,1,30,17,790812.9786
2019,1,30,18,793963.3809
2019,1,30,19,797969.6107
2019,1,30,20,790055.4396
2019,1,30,21,796311.5498
2019,1,30,22,844412.9437
2019,1,30,23,922177.4217
2019,1,30,24,1020223.211
2019,1,31,1,986885.279
2019,1,31,2,876480.7239
2019,1,31,3,816151.0788
2019,1,31,4,739971.2126
2019,1,31,5,672180.2927
2019,1,31,6,624983.0085
2019,1,31,7,589853.3841
2019,1,31,8,569082.1663
2019,1,31,9,560542.648
2019,1,31,10,565524.5276
2019,1,31,11,584491.8203
2019,1,31,12,647104.6574
2019,1,31,13,737229.5996
2019,1,31,14,795447.3019
2019,1,31,15,782895.1559
2019,1,31,16,761716.8772
2019,1,31,17,753476.1195
2019,1,31,18,760473.3599
2019,1,31,19,767948.8198
2019,1,31,20,764192.0226
2019,1,31,21,773914.9492
2019,1,31,22,823342.1267
2019,1,31,23,897081.3992
2019,1,31,24,985672.4359
2019,2,1,1,946708.5851
2019,2,1,2,834716.3891
2019,2,1,3,773354.938
2019,2,1,4,703926.6617
2019,2,1,5,638216.6215
2019,2,1,6,589972.3733
2019,2,1,7,552795.3488
2019,2,1,8,533520.1592
2019,2,1,9,523092.5498
