Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2019,1,20,3,2.24395E+11
2019,1,20,4,2.13718E+11
2019,1,20,5,2.00196E+11
2019,1,20,6,1.89005E+11
2019,1,20,7,1.80377E+11
2019,1,20,8,1.74432E+11
2019,1,20,9,1.7225E+11
2019,1,20,10,1.728E+11
2019,1,20,11,1.76418E+11
2019,1,20,12,1.84346E+11
2019,1,20,13,1.98055E+11
2019,1,20,14,2.1407E+11
2019,1,20,15,2.28204E+11
2019,1,20,16,2.32696E+11
2019,1,20,17,2.30157E+11
2019,1,20,18,2.24887E+11
2019,1,20,19,2.18781E+11
2019,1,20,20,2.12196E+11
2019,1,20,21,2.09126E+11
2019,1,20,22,2.13886E+11
2019,1,20,23,2.31537E+11
2019,1,20,24,2.55255E+11
2019,1,21,1,2.69748E+11
2019,1,21,2,2.75455E+11
2019,1,21,3,2.69076E+11
2019,1,21,4,2.61486E+11
2019,1,21,5,2.48349E+11
2019,1,21,6,2.37461E+11
2019,1,21,7,2.31836E+11
2019,1,21,8,2.2811E+11
2019,1,21,9,2.29293E+11
2019,1,21,10,2.3573E+11
2019,1,21,11,2.50634E+11
2019,1,21,12,2.7715E+11
2019,1,21,13,3.07241E+11
2019,1,21,14,3.24924E+11
2019,1,21,15,3.2773E+11
2019,1,21,16,3.21364E+11
2019,1,21,17,3.08346E+11
2019,1,21,18,2.93629E+11
2019,1,21,19,2.78815E+11
2019,1,21,20,2.66993E+11
2019,1,21,21,2.60616E+11
2019,1,21,22,2.64091E+11
2019,1,21,23,2.81499E+11
2019,1,21,24,3.04745E+11
2019,1,22,1,3.18123E+11
2019,1,22,2,3.20774E+11
2019,1,22,3,3.08846E+11
2019,1,22,4,2.87092E+11
2019,1,22,5,2.6423E+11
2019,1,22,6,2.45856E+11
2019,1,22,7,2.33556E+11
2019,1,22,8,2.26511E+11
2019,1,22,9,2.2374E+11
2019,1,22,10,2.26326E+11
2019,1,22,11,2.3924E+11
2019,1,22,12,2.68842E+11
2019,1,22,13,2.96753E+11
2019,1,22,14,3.04381E+11
2019,1,22,15,2.97447E+11
2019,1,22,16,2.85618E+11
2019,1,22,17,2.70012E+11
2019,1,22,18,2.57278E+11
2019,1,22,19,2.47549E+11
2019,1,22,20,2.40333E+11
2019,1,22,21,2.37577E+11
2019,1,22,22,2.40712E+11
2019,1,22,23,2.54756E+11
2019,1,22,24,2.72367E+11
2019,1,23,1,2.79197E+11
2019,1,23,2,2.78249E+11
2019,1,23,3,2.65593E+11
2019,1,23,4,2.44424E+11
2019,1,23,5,2.22161E+11
2019,1,23,6,2.04118E+11
2019,1,23,7,1.90653E+11
2019,1,23,8,1.83153E+11
2019,1,23,9,1.80933E+11
2019,1,23,10,1.8331E+11
2019,1,23,11,1.95585E+11
2019,1,23,12,2.22249E+11
2019,1,23,13,2.49258E+11
2019,1,23,14,2.61521E+11
2019,1,23,15,2.64307E+11
2019,1,23,16,2.60972E+11
2019,1,23,17,2.51714E+11
2019,1,23,18,2.42208E+11
2019,1,23,19,2.35824E+11
2019,1,23,20,2.29757E+11
2019,1,23,21,2.24956E+11
2019,1,23,22,2.24941E+11
2019,1,23,23,2.3353E+11
2019,1,23,24,2.47656E+11
2019,1,24,1,2.57301E+11
2019,1,24,2,2.58982E+11
2019,1,24,3,2.49307E+11
2019,1,24,4,2.30629E+11
2019,1,24,5,2.10186E+11
2019,1,24,6,1.94194E+11
2019,1,24,7,1.8284E+11
2019,1,24,8,1.7675E+11
2019,1,24,9,1.75673E+11
2019,1,24,10,1.78341E+11
2019,1,24,11,1.90289E+11
2019,1,24,12,2.16525E+11
2019,1,24,13,2.46316E+11
2019,1,24,14,2.60684E+11
2019,1,24,15,2.64856E+11
2019,1,24,16,2.61697E+11
2019,1,24,17,2.52575E+11
2019,1,24,18,2.42987E+11
2019,1,24,19,2.33126E+11
2019,1,24,20,2.2545E+11
2019,1,24,21,2.20411E+11
2019,1,24,22,2.22726E+11
2019,1,24,23,2.32203E+11
2019,1,24,24,2.5114E+11
2019,1,25,1,2.64851E+11
2019,1,25,2,2.69519E+11
2019,1,25,3,2.63055E+11
2019,1,25,4,2.467E+11
2019,1,25,5,2.29096E+11
2019,1,25,6,2.14881E+11
2019,1,25,7,2.06041E+11
2019,1,25,8,2.01703E+11
2019,1,25,9,2.00793E+11
2019,1,25,10,2.05252E+11
2019,1,25,11,2.21396E+11
2019,1,25,12,2.5487E+11
2019,1,25,13,2.88147E+11
2019,1,25,14,2.98519E+11
2019,1,25,15,2.93118E+11
2019,1,25,16,2.79154E+11
2019,1,25,17,2.62855E+11
2019,1,25,18,2.47148E+11
2019,1,25,19,2.35319E+11
2019,1,25,20,2.26448E+11
2019,1,25,21,2.20192E+11
2019,1,25,22,2.21279E+11
2019,1,25,23,2.33755E+11
2019,1,25,24,2.52679E+11
2019,1,26,1,2.64426E+11
2019,1,26,2,2.68325E+11
2019,1,26,3,2.63679E+11
2019,1,26,4,2.51453E+11
2019,1,26,5,2.36596E+11
2019,1,26,6,2.23064E+11
2019,1,26,7,2.13027E+11
2019,1,26,8,2.0786E+11
2019,1,26,9,2.05659E+11
2019,1,26,10,2.07238E+11
2019,1,26,11,2.13533E+11
2019,1,26,12,2.25859E+11
2019,1,26,13,2.43203E+11
2019,1,26,14,2.55823E+11
2019,1,26,15,2.56222E+11
2019,1,26,16,2.45977E+11
2019,1,26,17,2.32058E+11
2019,1,26,18,2.17713E+11
2019,1,26,19,2.0541E+11
2019,1,26,20,1.9702E+11
2019,1,26,21,1.91744E+11
2019,1,26,22,1.92934E+11
2019,1,26,23,2.02712E+11
2019,1,26,24,2.20157E+11
2019,1,27,1,2.30692E+11
2019,1,27,2,2.34473E+11
2019,1,27,3,2.30165E+11
2019,1,27,4,2.2072E+11
2019,1,27,5,2.08895E+11
2019,1,27,6,1.9699E+11
2019,1,27,7,1.88574E+11
2019,1,27,8,1.84076E+11
2019,1,27,9,1.82018E+11
2019,1,27,10,1.83692E+11
2019,1,27,11,1.86869E+11
2019,1,27,12,1.96133E+11
2019,1,27,13,2.09252E+11
2019,1,27,14,2.21482E+11
2019,1,27,15,2.25797E+11
2019,1,27,16,2.19695E+11
2019,1,27,17,2.10043E+11
2019,1,27,18,2.02541E+11
2019,1,27,19,1.96615E+11
2019,1,27,20,1.91377E+11
2019,1,27,21,1.89765E+11
2019,1,27,22,1.91844E+11
2019,1,27,23,2.04237E+11
2019,1,27,24,2.22235E+11
2019,1,28,1,2.34642E+11
2019,1,28,2,2.38397E+11
2019,1,28,3,2.32403E+11
2019,1,28,4,2.18179E+11
2019,1,28,5,2.0237E+11
2019,1,28,6,1.89838E+11
2019,1,28,7,1.81771E+11
2019,1,28,8,1.7769E+11
2019,1,28,9,1.78576E+11
2019,1,28,10,1.83957E+11
2019,1,28,11,2.01509E+11
2019,1,28,12,2.3415E+11
2019,1,28,13,2.66003E+11
2019,1,28,14,2.77492E+11
2019,1,28,15,2.73314E+11
2019,1,28,16,2.61329E+11
2019,1,28,17,2.47728E+11
2019,1,28,18,2.3677E+11
2019,1,28,19,2.27849E+11
2019,1,28,20,2.21929E+11
2019,1,28,21,2.17912E+11
2019,1,28,22,2.21065E+11
2019,1,28,23,2.35468E+11
2019,1,28,24,2.5671E+11
2019,1,29,1,2.70928E+11
2019,1,29,2,2.73668E+11
2019,1,29,3,2.64566E+11
2019,1,29,4,2.46968E+11
2019,1,29,5,2.27822E+11
2019,1,29,6,2.13275E+11
2019,1,29,7,2.0322E+11
2019,1,29,8,1.98289E+11
2019,1,29,9,1.97262E+11
2019,1,29,10,2.02161E+11
2019,1,29,11,2.19615E+11
2019,1,29,12,2.52129E+11
2019,1,29,13,2.84203E+11
2019,1,29,14,2.97228E+11
2019,1,29,15,2.98173E+11
2019,1,29,16,2.92444E+11
2019,1,29,17,2.8162E+11
2019,1,29,18,2.72103E+11
2019,1,29,19,2.63485E+11
2019,1,29,20,2.56272E+11
2019,1,29,21,2.5119E+11
2019,1,29,22,2.5391E+11
2019,1,29,23,2.67549E+11
2019,1,29,24,2.9021E+11
2019,1,30,1,3.04404E+11
2019,1,30,2,3.07876E+11
2019,1,30,3,3.00465E+11
2019,1,30,4,2.82871E+11
2019,1,30,5,2.62713E+11
2019,1,30,6,2.48129E+11
2019,1,30,7,2.39217E+11
2019,1,30,8,2.34841E+11
2019,1,30,9,2.35646E+11
2019,1,30,10,2.41564E+11
2019,1,30,11,2.59776E+11
2019,1,30,12,2.92726E+11
2019,1,30,13,3.24097E+11
2019,1,30,14,3.34111E+11
2019,1,30,15,3.30111E+11
2019,1,30,16,3.19961E+11
2019,1,30,17,3.05829E+11
2019,1,30,18,2.93503E+11
2019,1,30,19,2.83331E+11
2019,1,30,20,2.76559E+11
2019,1,30,21,2.73687E+11
2019,1,30,22,2.77021E+11
2019,1,30,23,2.95142E+11
2019,1,30,24,3.23243E+11
2019,1,31,1,3.40659E+11
2019,1,31,2,3.45106E+11
2019,1,31,3,3.373E+11
2019,1,31,4,3.17935E+11
2019,1,31,5,2.96158E+11
2019,1,31,6,2.79903E+11
2019,1,31,7,2.6929E+11
2019,1,31,8,2.63141E+11
2019,1,31,9,2.60655E+11
2019,1,31,10,2.64385E+11
2019,1,31,11,2.79787E+11
2019,1,31,12,3.11135E+11
2019,1,31,13,3.40672E+11
2019,1,31,14,3.47635E+11
2019,1,31,15,3.39026E+11
2019,1,31,16,3.24493E+11
2019,1,31,17,3.06244E+11
2019,1,31,18,2.89244E+11
